,duration,srcIp,srcPort,dstIp,dstPort,service,srcBytes,dstBytes,flag,land,urgent,ja3,ja3Ver,ja3Cipher,ja3Extension,ja3Ec,ja3Ecpf,blacklisted
346,81.633173000,10.11.11.200,49249,104.254.149.101,443,6,2269,5535,2,0,0,4d7a28d6f2263ed61de88ca66eb011e3,771,60-47-61-53-5-10-49191-49171-49172-49195-49187-49196-49188-49161-49162-64-50-106-56-19-4-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,65281-0-10-11-13-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,23-24-0-0-0-0,0-0,1
347,81.543003000,10.11.11.200,49250,216.239.32.21,443,6,4838,82062,0,0,0,4d7a28d6f2263ed61de88ca66eb011e3,771,60-47-61-53-5-10-49191-49171-49172-49195-49187-49196-49188-49161-49162-64-50-106-56-19-4-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,65281-0-10-11-13-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,23-24-0-0-0-0,0-0,1
348,81.542763000,10.11.11.200,49251,216.239.32.21,443,6,1019,6542,0,0,0,4d7a28d6f2263ed61de88ca66eb011e3,771,60-47-61-53-5-10-49191-49171-49172-49195-49187-49196-49188-49161-49162-64-50-106-56-19-4-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,65281-0-10-11-13-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,23-24-0-0-0-0,0-0,1
349,13.979151000,10.11.11.217,62571,104.254.149.69,443,6,4797,8214,2,0,0,6fa3244afc6bb6f9fad207b6b52af26b,771,4865-4866-4867-49196-49195-49188-49187-49162-49161-52393-49200-49199-49192-49191-49172-49171-52392-157-156-61-60-53-47-49160-49170-10-0-0-0-0-0-0-0-0-0-0,65281-0-23-13-5-18-16-11-51-45-43-10-21-0-0-0-0-0-0-0-0-0-0-0-0-0,29-23-24-25-0-0,0-0,0
350,81.464683000,10.11.11.200,49252,172.217.6.162,443,6,3803,8343,0,0,0,4d7a28d6f2263ed61de88ca66eb011e3,771,60-47-61-53-5-10-49191-49171-49172-49195-49187-49196-49188-49161-49162-64-50-106-56-19-4-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,65281-0-10-11-13-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,23-24-0-0-0-0,0-0,1
351,81.466241000,10.11.11.200,49253,172.217.6.162,443,6,2036,5763,0,0,0,4d7a28d6f2263ed61de88ca66eb011e3,771,60-47-61-53-5-10-49191-49171-49172-49195-49187-49196-49188-49161-49162-64-50-106-56-19-4-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,65281-0-10-11-13-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,23-24-0-0-0-0,0-0,1
352,81.365239000,10.11.11.200,49254,172.217.6.162,443,6,666,425,0,0,0,4d7a28d6f2263ed61de88ca66eb011e3,771,60-47-61-53-5-10-49191-49171-49172-49195-49187-49196-49188-49161-49162-64-50-106-56-19-4-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,65281-0-10-11-13-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,23-24-0-0-0-0,0-0,1
353,81.287841000,10.11.11.200,49255,104.18.70.113,443,6,2268,8378,0,0,0,4d7a28d6f2263ed61de88ca66eb011e3,771,60-47-61-53-5-10-49191-49171-49172-49195-49187-49196-49188-49161-49162-64-50-106-56-19-4-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,65281-0-10-11-13-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,23-24-0-0-0-0,0-0,1
354,81.249804000,10.11.11.200,49256,104.18.70.113,443,6,1082,5709,1,0,0,4d7a28d6f2263ed61de88ca66eb011e3,771,60-47-61-53-5-10-49191-49171-49172-49195-49187-49196-49188-49161-49162-64-50-106-56-19-4-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,65281-0-10-11-13-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,23-24-0-0-0-0,0-0,1
355,81.246124000,10.11.11.200,49257,172.217.12.36,443,6,653,641,1,0,0,4d7a28d6f2263ed61de88ca66eb011e3,771,60-47-61-53-5-10-49191-49171-49172-49195-49187-49196-49188-49161-49162-64-50-106-56-19-4-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,65281-0-10-11-13-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,23-24-0-0-0-0,0-0,1
356,80.956254000,10.11.11.200,49258,104.18.74.113,443,6,1117,5709,1,0,0,4d7a28d6f2263ed61de88ca66eb011e3,771,60-47-61-53-5-10-49191-49171-49172-49195-49187-49196-49188-49161-49162-64-50-106-56-19-4-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,65281-0-10-11-13-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,23-24-0-0-0-0,0-0,1
357,80.955751000,10.11.11.200,49259,104.18.74.113,443,6,1117,5709,1,0,0,4d7a28d6f2263ed61de88ca66eb011e3,771,60-47-61-53-5-10-49191-49171-49172-49195-49187-49196-49188-49161-49162-64-50-106-56-19-4-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,65281-0-10-11-13-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,23-24-0-0-0-0,0-0,1
358,80.351291000,10.11.11.200,49260,104.16.51.111,443,6,2183,8899,0,0,0,4d7a28d6f2263ed61de88ca66eb011e3,771,60-47-61-53-5-10-49191-49171-49172-49195-49187-49196-49188-49161-49162-64-50-106-56-19-4-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,65281-0-10-11-13-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,23-24-0-0-0-0,0-0,1
359,80.351292000,10.11.11.200,49261,104.16.51.111,443,6,2428,3670,0,0,0,4d7a28d6f2263ed61de88ca66eb011e3,771,60-47-61-53-5-10-49191-49171-49172-49195-49187-49196-49188-49161-49162-64-50-106-56-19-4-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,65281-0-10-11-13-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,23-24-0-0-0-0,0-0,1
360,10.297488000,10.11.11.217,62572,104.254.149.69,443,6,1906,1798,2,0,0,6fa3244afc6bb6f9fad207b6b52af26b,771,4865-4866-4867-49196-49195-49188-49187-49162-49161-52393-49200-49199-49192-49191-49172-49171-52392-157-156-61-60-53-47-49160-49170-10-0-0-0-0-0-0-0-0-0-0,65281-0-23-13-5-18-16-11-51-45-43-10-21-0-0-0-0-0-0-0-0-0-0-0-0-0,29-23-24-25-0-0,0-0,0
361,77.581014000,10.11.11.200,49262,89.187.164.66,80,6,246,174,1,0,0,0,0,[],[],[],[],0
362,77.586782000,10.11.11.200,49263,89.187.164.66,80,6,764,2283,0,0,0,0,0,[],[],[],[],0
363,77.616949000,10.11.11.200,49264,209.15.36.23,443,6,1614,4435,2,0,0,4d7a28d6f2263ed61de88ca66eb011e3,771,60-47-61-53-5-10-49191-49171-49172-49195-49187-49196-49188-49161-49162-64-50-106-56-19-4-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,65281-0-10-11-13-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,23-24-0-0-0-0,0-0,1
